Vel_Km/h;Direcao;Rajada_Km/h;Temp_min;Temp_max;Descricao;Data
7.0;114;7.0;-259°C;-258°C;céu limpo;2025/03/15 06H00
8.0;123;9.0;-260°C;-259°C;céu limpo;2025/03/15 09H00
13.0;152;18.0;-255°C;-254°C;céu limpo;2025/03/15 12H00
14.0;154;14.0;-247°C;-247°C;céu limpo;2025/03/15 15H00
11.0;161;11.0;-245°C;-245°C;céu limpo;2025/03/15 18H00
20.0;121;26.0;-248°C;-248°C;céu limpo;2025/03/15 21H00
14.0;100;37.0;-254°C;-254°C;céu limpo;2025/03/16 00H00
12.0;74;30.0;-257°C;-257°C;céu limpo;2025/03/16 03H00
10.0;81;26.0;-257°C;-257°C;céu limpo;2025/03/16 06H00
9.0;85;20.0;-257°C;-257°C;céu limpo;2025/03/16 09H00
13.0;78;18.0;-252°C;-252°C;céu limpo;2025/03/16 12H00
11.0;101;10.0;-245°C;-245°C;céu pouco nublado;2025/03/16 15H00
7.0;128;9.0;-242°C;-242°C;nuvens dispersas;2025/03/16 18H00
17.0;99;23.0;-245°C;-245°C;nuvens dispersas;2025/03/16 21H00
20.0;81;41.0;-251°C;-251°C;nuvens dispersas;2025/03/17 00H00
17.0;71;43.0;-254°C;-254°C;céu pouco nublado;2025/03/17 03H00
16.0;68;39.0;-255°C;-255°C;céu pouco nublado;2025/03/17 06H00
10.0;72;26.0;-256°C;-256°C;céu limpo;2025/03/17 09H00
14.0;70;19.0;-249°C;-249°C;céu limpo;2025/03/17 12H00
11.0;122;9.0;-243°C;-243°C;céu limpo;2025/03/17 15H00
11.0;169;10.0;-241°C;-241°C;céu limpo;2025/03/17 18H00
8.0;146;11.0;-242°C;-242°C;céu limpo;2025/03/17 21H00
20.0;97;40.0;-250°C;-250°C;céu pouco nublado;2025/03/18 00H00
17.0;70;40.0;-254°C;-254°C;céu limpo;2025/03/18 03H00
17.0;54;40.0;-254°C;-254°C;céu limpo;2025/03/18 06H00
11.0;46;25.0;-255°C;-255°C;céu limpo;2025/03/18 09H00
8.0;42;11.0;-247°C;-247°C;céu limpo;2025/03/18 12H00
5.0;183;9.0;-240°C;-240°C;céu limpo;2025/03/18 15H00
14.0;201;16.0;-239°C;-239°C;céu limpo;2025/03/18 18H00
14.0;183;21.0;-241°C;-241°C;céu pouco nublado;2025/03/18 21H00
13.0;79;29.0;-249°C;-249°C;céu pouco nublado;2025/03/19 00H00
13.0;84;27.0;-251°C;-251°C;nuvens quebradas;2025/03/19 03H00
9.0;78;15.0;-254°C;-254°C;nuvens dispersas;2025/03/19 06H00
6.0;109;6.0;-255°C;-255°C;céu limpo;2025/03/19 09H00
16.0;137;19.0;-250°C;-250°C;céu limpo;2025/03/19 12H00
17.0;158;14.0;-244°C;-244°C;céu limpo;2025/03/19 15H00
17.0;167;14.0;-241°C;-241°C;céu limpo;2025/03/19 18H00
20.0;141;24.0;-244°C;-244°C;céu limpo;2025/03/19 21H00
20.0;107;42.0;-253°C;-253°C;céu limpo;2025/03/20 00H00
14.0;77;31.0;-257°C;-257°C;céu limpo;2025/03/20 03H00
