Vel_Km/h;Direcao;Rajada_Km/h;Temp_min;Temp_max;Descricao;Data
9.0;118;13.0;-252°C;-251°C;nuvens quebradas;2025/03/15 06H00
10.0;129;17.0;-252°C;-252°C;nuvens quebradas;2025/03/15 09H00
12.0;131;16.0;-250°C;-250°C;chuva fraca;2025/03/15 12H00
13.0;144;12.0;-248°C;-248°C;chuva fraca;2025/03/15 15H00
17.0;152;16.0;-249°C;-249°C;chuva fraca;2025/03/15 18H00
17.0;143;22.0;-251°C;-251°C;nublado;2025/03/15 21H00
17.0;137;26.0;-252°C;-252°C;nublado;2025/03/16 00H00
14.0;127;22.0;-253°C;-253°C;chuva fraca;2025/03/16 03H00
15.0;128;23.0;-253°C;-253°C;nublado;2025/03/16 06H00
13.0;130;21.0;-253°C;-253°C;nublado;2025/03/16 09H00
13.0;131;18.0;-252°C;-252°C;nublado;2025/03/16 12H00
14.0;129;15.0;-249°C;-249°C;chuva fraca;2025/03/16 15H00
18.0;151;17.0;-249°C;-249°C;chuva fraca;2025/03/16 18H00
18.0;142;19.0;-251°C;-251°C;nublado;2025/03/16 21H00
17.0;136;22.0;-253°C;-253°C;nublado;2025/03/17 00H00
12.0;126;21.0;-253°C;-253°C;nuvens quebradas;2025/03/17 03H00
9.0;129;17.0;-254°C;-254°C;nuvens dispersas;2025/03/17 06H00
8.0;120;22.0;-254°C;-254°C;céu pouco nublado;2025/03/17 09H00
11.0;103;17.0;-251°C;-251°C;nuvens dispersas;2025/03/17 12H00
9.0;95;8.0;-247°C;-247°C;nublado;2025/03/17 15H00
17.0;157;10.0;-247°C;-247°C;nublado;2025/03/17 18H00
19.0;148;19.0;-250°C;-250°C;chuva fraca;2025/03/17 21H00
12.0;118;17.0;-252°C;-252°C;nublado;2025/03/18 00H00
10.0;118;15.0;-252°C;-252°C;nublado;2025/03/18 03H00
8.0;98;14.0;-253°C;-253°C;nublado;2025/03/18 06H00
6.0;90;13.0;-253°C;-253°C;nublado;2025/03/18 09H00
4.0;88;5.0;-250°C;-250°C;nublado;2025/03/18 12H00
3.0;153;3.0;-246°C;-246°C;nublado;2025/03/18 15H00
11.0;152;7.0;-245°C;-245°C;chuva fraca;2025/03/18 18H00
17.0;134;17.0;-249°C;-249°C;chuva fraca;2025/03/18 21H00
14.0;122;20.0;-251°C;-251°C;chuva fraca;2025/03/19 00H00
9.0;115;16.0;-252°C;-252°C;chuva fraca;2025/03/19 03H00
9.0;128;14.0;-252°C;-252°C;nublado;2025/03/19 06H00
9.0;112;14.0;-252°C;-252°C;chuva fraca;2025/03/19 09H00
6.0;46;8.0;-250°C;-250°C;chuva fraca;2025/03/19 12H00
6.0;335;7.0;-251°C;-251°C;chuva fraca;2025/03/19 15H00
7.0;332;14.0;-251°C;-251°C;chuva fraca;2025/03/19 18H00
1.0;208;3.0;-252°C;-252°C;chuva fraca;2025/03/19 21H00
5.0;126;9.0;-252°C;-252°C;nublado;2025/03/20 00H00
7.0;127;16.0;-253°C;-253°C;nublado;2025/03/20 03H00
